annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
1232.2033898305085,1.263848202934298,2678.2111597275475,-5137.399265905991,-64616.48696977714,15.0
1257.6271186440677,1.263848202934298,2742.8205576439054,-5137.399265905991,-64616.48696977714,15.0
1283.0508474576272,1.263848202934298,2807.4299555602643,-5137.399265905991,-64616.48696977714,15.0
1308.4745762711864,1.263848202934298,2872.0393534766217,-5137.399265905991,-64616.48696977714,15.0
1333.8983050847457,1.263848202934298,2936.6487513929796,-5137.399265905991,-64616.48696977714,15.0
1359.322033898305,1.263848202934298,3001.258149309338,-5137.399265905991,-64616.48696977714,15.0
1384.7457627118642,1.263848202934298,3065.8675472256955,-5137.399265905991,-64616.48696977714,15.0
1410.1694915254238,1.263848202934298,3130.4769451420543,-5137.399265905991,-64616.48696977714,15.0
1435.593220338983,1.263848202934298,3195.086343058412,-5137.399265905991,-64616.48696977714,15.0
1461.0169491525423,1.263848202934298,3259.69574097477,-5137.399265905991,-64616.48696977714,15.0
1486.4406779661017,1.263848202934298,3324.305138891128,-5137.399265905991,-64616.48696977714,15.0
1511.864406779661,1.263848202934298,3388.9145368074865,-5137.399265905991,-64616.48696977714,15.0
1537.2881355932204,1.263848202934298,3453.5239347238444,-5137.399265905991,-64616.48696977714,15.0
1562.7118644067796,1.263848202934298,3518.1333326402023,-5137.399265905991,-64616.48696977714,15.0
1588.135593220339,1.263848202934298,3582.74273055656,-5137.399265905991,-64616.48696977714,15.0
1613.5593220338983,1.263848202934298,3647.3521284729186,-5137.399265905991,-64616.48696977714,15.0
1638.9830508474577,1.263848202934298,3711.9615263892765,-5137.399265905991,-64616.48696977714,15.0
1664.406779661017,1.263848202934298,3776.5709243056344,-5137.399265905991,-64616.48696977714,15.0
1689.8305084745762,1.263848202934298,3841.1803222219924,-5137.399265905991,-64616.48696977714,15.0
1715.2542372881355,1.263848202934298,3905.7897201383503,-5137.399265905991,-64616.48696977714,15.0
1740.677966101695,1.263848202934298,3970.399118054709,-5137.399265905991,-64616.48696977714,15.0
1766.1016949152543,1.263848202934298,4035.008515971067,-5137.399265905991,-64616.48696977714,15.0
1791.5254237288136,1.263848202934298,4099.617913887425,-5137.399265905991,-64616.48696977714,15.0
1816.9491525423728,1.263848202934298,4164.227311803783,-5137.399265905991,-64616.48696977714,15.0
1842.3728813559321,1.263848202934298,4228.836709720141,-5137.399265905991,-64616.48696977714,15.0
1867.7966101694915,1.263848202934298,4293.446107636499,-5137.399265905991,-64616.48696977714,15.0
1893.2203389830509,1.263848202934298,4358.0555055528575,-5137.399265905991,-64616.48696977714,15.0
1918.6440677966102,1.263848202934298,4422.6649034692155,-5137.399265905991,-64616.48696977714,15.0
1944.0677966101696,1.263848202934298,4487.274301385573,-5137.399265905991,-64616.48696977714,15.0
1969.4915254237287,1.263848202934298,4551.883699301931,-5137.399265905991,-64616.48696977714,15.0
1994.915254237288,1.263848202934298,4616.493097218289,-5137.399265905991,-64616.48696977714,15.0
2020.3389830508474,1.263848202934298,4681.102495134647,-5137.399265905991,-64616.48696977714,15.0
2045.7627118644068,1.263848202934298,4745.711893051006,-5137.399265905991,-64616.48696977714,15.0
2071.186440677966,1.263848202934298,4810.321290967363,-5137.399265905991,-64616.48696977714,15.0
