material,span_m,T_horiz_N,sag_m,mass_per_m_kg
dyneema_sk78_8mm_12strand,50.0,12957.627118644068,0.010879353248321061,0.046
dyneema_sk78_8mm_12strand,50.0,13372.881355932202,0.010541527914945076,0.046
dyneema_sk78_8mm_12strand,50.0,13788.135593220339,0.010224051009321822,0.046
dyneema_sk78_8mm_12strand,50.0,14203.389830508475,0.009925137786770968,0.046
dyneema_sk78_8mm_12strand,50.0,14618.64406779661,0.009643206314190553,0.046
dyneema_sk78_8mm_12strand,50.0,15033.898305084746,0.009376849407196807,0.046
dyneema_sk78_8mm_12strand,50.0,15449.152542372882,0.009124811189140013,0.046
dyneema_sk78_8mm_12strand,50.0,15864.406779661016,0.008885967289882666,0.046
dyneema_sk78_8mm_12strand,50.0,16279.661016949152,0.008659308031585756,0.046
dyneema_sk78_8mm_12strand,50.0,16694.91525423729,0.008443924212813987,0.046
dyneema_sk78_8mm_12strand,50.0,17110.169491525423,0.008238994881588201,0.046
dyneema_sk78_8mm_12strand,50.0,17525.42372881356,0.00804377690620226,0.046
dyneema_sk78_8mm_12strand,50.0,17940.677966101695,0.00785759593975206,0.046
dyneema_sk78_8mm_12strand,50.0,18355.93220338983,0.0076798386812795185,0.046
dyneema_sk78_8mm_12strand,50.0,18771.186440677964,0.007509946073503896,0.046
dyneema_sk78_8mm_12strand,50.0,19186.4406779661,0.007347407480535308,0.046
dyneema_sk78_8mm_12strand,50.0,19601.694915254237,0.007191755517437226,0.046
dyneema_sk78_8mm_12strand,50.0,20016.949152542373,0.0070425615969408936,0.046
dyneema_sk78_8mm_12strand,50.0,20432.20338983051,0.006899431973425726,0.046
dyneema_sk78_8mm_12strand,50.0,20847.457627118645,0.0067620042524757385,0.046
dyneema_sk78_8mm_12strand,50.0,21262.711864406778,0.00662994438437022,0.046
dyneema_sk78_8mm_12strand,50.0,21677.966101694914,0.0065029438728760125,0.046
dyneema_sk78_8mm_12strand,50.0,22093.22033898305,0.006380717466034331,0.046
dyneema_sk78_8mm_12strand,50.0,22508.474576271186,0.006263000909993838,0.046
dyneema_sk78_8mm_12strand,50.0,22923.728813559323,0.00614954912878745,0.046
dyneema_sk78_8mm_12strand,50.0,23338.98305084746,0.006040134488829857,0.046
dyneema_sk78_8mm_12strand,50.0,23754.23728813559,0.00593454526136787,0.046
dyneema_sk78_8mm_12strand,50.0,24169.491525423728,0.005832584280868809,0.046
dyneema_sk78_8mm_12strand,50.0,24584.745762711864,0.0057340676897314116,0.046
dyneema_sk78_8mm_12strand,50.0,25000.0,0.005638823846865224,0.046
dyneema_sk78_8mm_12strand,75.0,500.0,0.6344281858817238,0.046
dyneema_sk78_8mm_12strand,75.0,915.2542372881355,0.34656257536125823,0.046
dyneema_sk78_8mm_12strand,75.0,1330.508474576271,0.23839615818793716,0.046
dyneema_sk78_8mm_12strand,75.0,1745.7627118644068,0.18168925001034442,0.046
dyneema_sk78_8mm_12strand,75.0,2161.016949152542,0.14677601476433458,0.046
dyneema_sk78_8mm_12strand,75.0,2576.271186440678,0.12311785236122115,0.046
dyneema_sk78_8mm_12strand,75.0,2991.5254237288136,0.10602774044030687,0.046
