site,panel_area_m2,battery_capacity_Wh,annual_grid_hours,annual_grid_kWh,annual_curtailed_kWh
Beauce_FR,12.666666666666666,14222.222222222223,1910.0,1898.0449832984968,4.691785745500341
Beauce_FR,12.666666666666666,16666.666666666664,1907.0,1895.1116499651635,2.52743389364848
Beauce_FR,12.666666666666666,19111.11111111111,1902.0,1892.17831663183,0.3630820417966237
Beauce_FR,12.666666666666666,21555.555555555555,1901.0,1890.9050335554437,0.0
Beauce_FR,12.666666666666666,24000.0,1901.0,1889.9663668887772,0.0
Beauce_FR,15.555555555555555,2000.0,2049.0,1838.681418198278,539.5697979092777
Beauce_FR,15.555555555555555,4444.444444444444,1678.0,1586.2723058758677,266.706901147403
Beauce_FR,15.555555555555555,6888.888888888889,1608.0,1549.2894594181898,227.59646300611521
Beauce_FR,15.555555555555555,9333.333333333332,1599.0,1543.674739734241,222.5226207564596
Beauce_FR,15.555555555555555,11777.777777777777,1597.0,1540.7414064009076,220.35826890460763
Beauce_FR,15.555555555555555,14222.222222222223,1589.0,1537.808073067574,218.19391705275572
Beauce_FR,15.555555555555555,16666.666666666664,1584.0,1534.874739734241,216.0295652009039
Beauce_FR,15.555555555555555,19111.11111111111,1580.0,1531.9414064009075,213.8652133490524
Beauce_FR,15.555555555555555,21555.555555555555,1576.0,1529.0080730675745,211.70086149720066
Beauce_FR,15.555555555555555,24000.0,1575.0,1526.0747397342411,209.53650964534881
Beauce_FR,18.444444444444443,2000.0,1719.0,1515.4810087185251,788.705729773238
Beauce_FR,18.444444444444443,4444.444444444444,1431.0,1338.2369148055543,597.4020977785503
Beauce_FR,18.444444444444443,6888.888888888889,1397.0,1322.3706368608414,581.2046029021982
Beauce_FR,18.444444444444443,9333.333333333332,1393.0,1319.437303527508,579.0402510503461
Beauce_FR,18.444444444444443,11777.777777777777,1388.0,1316.5039701941746,576.8758991984942
Beauce_FR,18.444444444444443,14222.222222222223,1382.0,1313.5706368608414,574.7115473466422
Beauce_FR,18.444444444444443,16666.666666666664,1379.0,1310.637303527508,572.5471954947905
Beauce_FR,18.444444444444443,19111.11111111111,1375.0,1307.7039701941749,570.3828436429393
Beauce_FR,18.444444444444443,21555.555555555555,1370.0,1304.7706368608415,568.2184917910874
Beauce_FR,18.444444444444443,24000.0,1365.0,1301.8373035275079,566.0541399392356
Beauce_FR,21.333333333333332,2000.0,1474.0,1279.0086225545158,1127.572700776726
Beauce_FR,21.333333333333332,4444.444444444444,1262.0,1165.3118556411346,1005.2223315854128
Beauce_FR,21.333333333333332,6888.888888888889,1242.0,1154.4865748126172,994.4946686493772
Beauce_FR,21.333333333333332,9333.333333333332,1235.0,1151.553241479284,992.3303167975249
Beauce_FR,21.333333333333332,11777.777777777777,1232.0,1148.6199081459506,990.1659649456731
Beauce_FR,21.333333333333332,14222.222222222223,1228.0,1145.6865748126174,988.0016130938212
Beauce_FR,21.333333333333332,16666.666666666664,1224.0,1142.7532414792838,985.8372612419694
Beauce_FR,21.333333333333332,19111.11111111111,1220.0,1139.8199081459506,983.6729093901182
Beauce_FR,21.333333333333332,21555.555555555555,1218.0,1136.8865748126175,981.5085575382662
Beauce_FR,21.333333333333332,24000.0,1213.0,1133.9532414792839,979.3442056864146
Beauce_FR,24.22222222222222,2000.0,1288.0,1109.7568254078265,1535.3649357802785
Beauce_FR,24.22222222222222,4444.444444444444,1142.0,1033.1483462834171,1453.2579344155406
Beauce_FR,24.22222222222222,6888.888888888889,1133.0,1025.354866212819,1445.8199858435657
Beauce_FR,24.22222222222222,9333.333333333332,1129.0,1022.3434635820822,1443.570923382552
Beauce_FR,24.22222222222222,11777.777777777777,1123.0,1019.4101302487487,1441.4065715307001
Beauce_FR,24.22222222222222,14222.222222222223,1121.0,1016.4767969154154,1439.2422196788482
Beauce_FR,24.22222222222222,16666.666666666664,1118.0,1013.5434635820822,1437.0778678269965
Beauce_FR,24.22222222222222,19111.11111111111,1112.0,1010.6101302487491,1434.9135159751456
Beauce_FR,24.22222222222222,21555.555555555555,1110.0,1007.6767969154156,1432.7491641232937
Beauce_FR,24.22222222222222,24000.0,1107.0,1004.7434635820823,1430.5848122714417
